County,AUN,LEA,School Code,School,Oct 1 Enrollment Grades 7-12,Male Dropouts,Female Dropouts,Dropouts,Dropout Rate
Allegheny,103023912,Fox Chapel Area SD,0147,Dorseyville MS,615,0,0,0,0.00%
Allegheny,103023912,Fox Chapel Area SD,0156,Fox Chapel Area HS,"1,333",2,0,2,0.15%
Allegheny,103023912,Fox Chapel Area SD,9999,Fox Chapel Area SD,4,1,0,1,25.00%
Allegheny,103024102,Gateway SD,0167,Gateway MS,561,1,0,1,0.18%
Allegheny,103024102,Gateway SD,0170,Gateway SHS,"1,088",7,3,10,0.92%
Allegheny,103024603,Hampton Township SD,5190,Hampton HS,949,2,2,4,0.42%
Allegheny,103024603,Hampton Township SD,0179,Hampton MS,441,0,0,0,0.00%
Allegheny,103024603,Hampton Township SD,9999,Hampton Township SD,3,0,0,0,0.00%
Allegheny,103024753,Highlands SD,7202,Highlands MS,384,0,0,0,0.00%
Allegheny,103024753,Highlands SD,9999,Highlands SD,9,1,0,1,11.11%
Allegheny,103024753,Highlands SD,5153,Highlands SHS,720,22,7,29,4.03%
Allegheny,103025002,Keystone Oaks SD,5112,Keystone Oaks HS,571,0,2,2,0.35%
Allegheny,103025002,Keystone Oaks SD,7462,Keystone Oaks MS,312,0,0,0,0.00%
Allegheny,103025002,Keystone Oaks SD,9999,Keystone Oaks SD,16,0,0,0,0.00%
Allegheny,102023030,Manchester Academic CS,7549,Manchester Academic CS,74,0,0,0,0.00%
Allegheny,103026002,McKeesport Area SD,7673,Founders Hall Middle Sch,511,0,0,0,0.00%
Allegheny,103026002,McKeesport Area SD,6105,McKeesport Area SHS,"1,005",29,21,50,4.98%
Allegheny,103026303,Montour SD,8177,David E Williams MS,425,0,0,0,0.00%
Allegheny,103026303,Montour SD,5017,Montour HS,928,0,1,1,0.11%
Allegheny,103026303,Montour SD,9999,Montour SD,7,0,0,0,0.00%
